0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
308.5002136,-1.227721,0.032,0.032,4.0,0.587,0.0,0.066,0.066,0.0,0.0,0.0,4.0,22.301,22.265,0.057,0.168,1.9,4.0,20.814,20.809,0.02,0.049,1.2,4.0,20.187,20.202,0.019,0.053,2.0,4.0,19.878,19.809,0.047,0.139,2.4
308.5000916,-1.2402642,0.015,0.015,4.0,0.596,4.0,21.804,21.821,0.088,0.063,0.1,4.0,20.455,20.447,0.014,0.028,1.0,4.0,19.752,19.747,0.01,0.024,1.3,4.0,19.468,19.465,0.012,0.027,1.1,4.0,19.317,19.305,0.031,0.048,0.5
308.5000916,-1.2171559,0.009,0.024,4.0,0.579,4.0,19.439,19.443,0.017,0.047,1.5,4.0,18.001,18.0,0.007,0.017,1.8,4.0,17.327,17.324,0.004,0.012,1.4,4.0,17.049,17.05,0.006,0.02,2.2,4.0,16.89,16.89,0.01,0.007,0.1
308.5018921,-1.1764922,0.005,0.024,4.0,0.559,4.0,20.561,20.553,0.033,0.08,1.4,4.0,18.479,18.461,0.009,0.017,0.7,4.0,17.556,17.556,0.008,0.006,0.1,4.0,17.197,17.205,0.011,0.024,0.3,4.0,16.966,16.963,0.012,0.009,0.2
308.5046082,-1.174189,0.028,0.038,4.0,0.556,0.0,0.068,0.068,0.0,0.0,0.0,4.0,23.106,23.01,0.112,0.204,0.9,4.0,21.326,21.325,0.031,0.101,2.3,4.0,20.326,20.337,0.02,0.066,2.4,4.0,19.719,19.712,0.043,0.147,3.0
308.5013123,-1.1193042,0.007,0.023,4.0,0.537,4.0,22.173,22.157,0.111,0.175,0.7,4.0,20.102,20.102,0.011,0.017,0.6,4.0,19.145,19.138,0.007,0.022,2.1,4.0,18.747,18.752,0.008,0.019,1.0,4.0,18.503,18.504,0.018,0.004,0.0
308.5030823,-1.132302,0.019,0.021,4.0,0.543,4.0,19.368,19.353,0.016,0.031,1.0,4.0,17.831,17.827,0.006,0.014,1.3,4.0,17.172,17.172,0.004,0.011,2.0,4.0,16.914,16.913,0.006,0.015,1.0,4.0,16.764,16.762,0.01,0.01,0.3
308.5074463,-1.225595,0.009,0.017,4.0,0.575,4.0,19.606,19.603,0.018,0.024,0.4,4.0,18.1,18.095,0.007,0.017,2.0,4.0,17.465,17.464,0.004,0.005,0.2,4.0,17.218,17.223,0.006,0.007,0.4,4.0,17.089,17.089,0.01,0.017,0.6
308.5087891,-1.2139043,0.019,0.019,4.0,0.565,4.0,19.198,19.202,0.016,0.036,0.9,4.0,17.728,17.73,0.007,0.014,1.2,4.0,17.097,17.092,0.005,0.011,1.2,4.0,16.835,16.843,0.007,0.02,2.7,4.0,16.689,16.693,0.01,0.019,0.8
308.5092163,-1.1190259,0.011,0.024,4.0,0.533,4.0,18.888,18.888,0.014,0.052,2.7,4.0,17.502,17.498,0.007,0.012,0.9,4.0,16.913,16.912,0.004,0.013,2.0,4.0,16.677,16.676,0.006,0.008,0.4,4.0,16.532,16.538,0.01,0.017,0.8
308.5093994,-1.117219,0.024,0.031,4.0,0.532,4.0,21.654,21.647,0.081,0.249,1.4,4.0,19.062,19.045,0.009,0.024,2.3,4.0,17.636,17.638,0.004,0.009,0.7,4.0,17.047,17.046,0.006,0.007,0.4,4.0,16.677,16.683,0.01,0.022,1.0
308.5102539,-1.168782,0.006,0.011,4.0,0.55,4.0,17.196,17.198,0.011,0.057,3.8,4.0,15.639,15.636,0.006,0.01,0.7,4.0,14.943,14.941,0.003,0.007,0.6,4.0,14.665,14.664,0.006,0.009,0.5,4.0,14.492,14.498,0.009,0.013,0.4
308.5082092,-1.167293,0.013,0.014,4.0,0.551,4.0,20.392,20.403,0.029,0.057,0.7,4.0,18.42,18.418,0.007,0.012,0.9,4.0,17.548,17.546,0.004,0.013,1.4,4.0,17.189,17.186,0.006,0.012,0.8,4.0,16.953,16.951,0.01,0.018,0.7
308.5108948,-1.072857,0.023,0.028,4.0,0.512,4.0,20.794,20.754,0.039,0.086,1.4,4.0,19.495,19.487,0.016,0.037,1.4,4.0,18.84,18.839,0.016,0.015,0.2,4.0,18.599,18.602,0.02,0.018,0.2,4.0,18.459,18.468,0.02,0.039,0.8
308.5120544,-1.263167,0.007,0.019,4.0,0.591,4.0,18.365,18.351,0.012,0.05,4.2,4.0,16.805,16.81,0.006,0.017,1.5,4.0,16.136,16.144,0.003,0.01,1.9,4.0,15.838,15.834,0.006,0.024,2.5,4.0,15.706,15.705,0.009,0.012,0.3
308.5119019,-1.217849,0.008,0.018,4.0,0.565,4.0,19.479,19.481,0.018,0.035,0.8,4.0,17.618,17.618,0.007,0.015,1.5,4.0,16.862,16.862,0.004,0.01,0.7,4.0,16.586,16.587,0.006,0.011,0.6,4.0,16.439,16.44,0.01,0.006,0.1
308.5130005,-1.1205829,0.012,0.026,4.0,0.532,4.0,19.059,19.066,0.015,0.057,2.5,4.0,17.686,17.686,0.007,0.009,0.6,4.0,17.105,17.104,0.004,0.01,1.0,4.0,16.865,16.866,0.006,0.005,0.2,4.0,16.726,16.728,0.01,0.009,0.2
308.5172119,-1.230376,0.014,0.016,4.0,0.565,4.0,19.428,19.425,0.017,0.051,1.8,4.0,17.467,17.464,0.007,0.013,1.2,4.0,16.678,16.677,0.003,0.009,0.6,4.0,16.386,16.383,0.006,0.017,1.8,4.0,16.217,16.22,0.01,0.011,0.2
308.5134888,-1.0944289,0.011,0.021,4.0,0.519,0.0,0.045,0.045,0.0,0.0,0.0,4.0,20.66,20.652,0.016,0.029,0.9,4.0,19.14,19.14,0.007,0.021,2.3,4.0,18.329,18.335,0.007,0.016,1.4,4.0,17.854,17.856,0.013,0.009,0.1
308.5223999,-1.207152,0.023,0.019,4.0,0.553,4.0,18.803,18.8,0.014,0.037,1.4,4.0,17.444,17.443,0.007,0.003,0.0,4.0,16.81,16.806,0.004,0.008,0.8,4.0,16.542,16.542,0.006,0.013,0.8,4.0,16.403,16.402,0.01,0.008,0.1
308.5226135,-1.205687,0.012,0.01,4.0,0.552,4.0,21.567,21.564,0.069,0.035,0.0,4.0,20.045,20.053,0.017,0.016,0.1,4.0,19.202,19.196,0.008,0.017,1.2,4.0,18.862,18.85,0.01,0.026,1.7,4.0,18.651,18.654,0.02,0.014,0.1
308.5273438,-1.2129952,0.009,0.017,4.0,0.551,4.0,17.464,17.463,0.011,0.045,2.5,4.0,15.661,15.661,0.006,0.009,0.3,4.0,14.871,14.871,0.003,0.011,0.9,4.0,14.533,14.531,0.006,0.01,0.5,4.0,14.334,14.338,0.009,0.016,0.6
308.5282898,-1.189983,0.01,0.017,4.0,0.543,4.0,19.107,19.11,0.015,0.08,4.9,4.0,17.757,17.755,0.007,0.004,0.1,4.0,17.124,17.124,0.004,0.008,0.5,4.0,16.858,16.856,0.006,0.01,0.5,4.0,16.722,16.722,0.01,0.007,0.1
308.5296936,-1.1773952,0.014,0.015,4.0,0.538,4.0,16.434,16.439,0.01,0.053,3.3,4.0,15.188,15.188,0.006,0.004,0.1,4.0,14.798,14.794,0.003,0.009,0.9,4.0,14.656,14.657,0.006,0.005,0.2,4.0,14.589,14.595,0.009,0.02,1.1
308.5323181,-1.1851043,0.012,0.017,4.0,0.539,4.0,19.548,19.544,0.018,0.057,2.1,4.0,18.129,18.129,0.007,0.012,0.7,4.0,17.493,17.485,0.004,0.015,2.1,4.0,17.224,17.223,0.006,0.008,0.2,4.0,17.052,17.057,0.011,0.015,0.5
308.5323181,-1.1285372,0.026,0.046,4.0,0.528,4.0,19.651,19.648,0.019,0.054,1.7,4.0,19.601,19.599,0.009,0.025,1.3,4.0,19.748,19.749,0.01,0.01,0.2,4.0,19.911,19.899,0.015,0.024,0.7,4.0,20.114,20.135,0.06,0.128,0.9
308.5382996,-1.167304,0.011,0.027,4.0,0.534,4.0,18.55,18.558,0.013,0.042,1.6,4.0,17.03,17.031,0.007,0.006,0.1,4.0,16.413,16.409,0.004,0.013,1.6,4.0,16.16,16.164,0.006,0.006,0.4,4.0,16.052,16.057,0.01,0.033,3.4
308.539093,-1.1656709,0.004,0.029,4.0,0.533,4.0,20.799,20.81,0.039,0.03,0.2,4.0,19.489,19.484,0.01,0.011,0.3,4.0,18.918,18.912,0.006,0.019,2.3,4.0,18.668,18.668,0.008,0.007,0.2,4.0,18.525,18.526,0.018,0.039,1.0
