time,SOI
1951.0417,1.5
1951.125,0.9
1951.2083,-0.1
1951.2917,-0.3
1951.375,-0.7
1951.4583,0.2
1951.5417,-1
1951.625,-0.2
1951.7083,-1.1
1951.7917,-1
1951.875,-0.8
1951.9583,-0.7
1952.0417,-0.9
1952.125,-0.6
1952.2083,0.5
1952.2917,-0.2
1952.375,0.8
1952.4583,0.7
1952.5417,0.5
1952.625,0.1
1952.7083,-0.2
1952.7917,0.4
1952.875,0
1952.9583,-1.2
1953.0417,0.3
1953.125,-0.5
1953.2083,-0.2
1953.2917,0.2
1953.375,-1.7
1953.4583,0.1
1953.5417,0
1953.625,-1.2
1953.7083,-1.2
1953.7917,0.1
1953.875,-0.3
1953.9583,-0.5
1954.0417,0.7
1954.125,-0.3
1954.2083,0.3
1954.2917,0.6
1954.375,0.5
1954.4583,0.1
1954.5417,0.4
1954.625,1.1
1954.7083,0.2
1954.7917,0.3
1954.875,0.1
1954.9583,1.4
1955.0417,-0.5
1955.125,1.9
1955.2083,0.6
1955.2917,-0.1
1955.375,1
1955.4583,1.3
1955.5417,1.6
1955.625,1.5
1955.7083,1.3
1955.7917,1.5
1955.875,1.2
1955.9583,1
1956.0417,1.3
1956.125,1.6
1956.2083,1.3
1956.2917,0.9
1956.375,1.4
1956.4583,1.1
1956.5417,1.1
1956.625,1.2
1956.7083,0.1
1956.7917,1.8
1956.875,0.2
1956.9583,1.1
1957.0417,0.6
1957.125,-0.1
1957.2083,0.2
1957.2917,0.2
1957.375,-0.7
1957.4583,0.2
1957.5417,0.2
1957.625,-0.5
1957.7083,-0.9
1957.7917,0
1957.875,-1
1957.9583,-0.3
1958.0417,-1.9
1958.125,-0.5
1958.2083,0.3
1958.2917,0.4
1958.375,-0.5
1958.4583,0.3
1958.5417,0.4
1958.625,0.9
1958.7083,-0.3
1958.7917,0.1
1958.875,-0.4
1958.9583,-0.6
1959.0417,-0.9
1959.125,-1.4
1959.2083,1.3
1959.2917,0.4
1959.375,0.5
1959.4583,-0.1
1959.5417,-0.3
1959.625,-0.1
1959.7083,0
1959.7917,0.5
1959.875,0.9
1959.9583,0.9
1960.0417,0.1
1960.125,0.1
1960.2083,1
1960.2917,0.8
1960.375,0.5
1960.4583,0.1
1960.5417,0.5
1960.625,0.8
1960.7083,0.7
1960.7917,0.1
1960.875,0.5
1960.9583,0.8
1961.0417,-0.3
1961.125,0.9
1961.2083,-1.8
1961.2917,0.8
1961.375,0.3
1961.4583,0.1
1961.5417,0.2
1961.625,0.2
1961.7083,0.1
1961.7917,-0.3
1961.875,0.5
1961.9583,1.5
1962.0417,2
1962.125,-0.3
1962.2083,0.1
1962.2917,0.2
1962.375,1.1
1962.4583,0.7
1962.5417,0.1
1962.625,0.6
1962.7083,0.4
1962.7917,1
1962.875,0.3
1962.9583,0.2
1963.0417,1
1963.125,0.6
1963.2083,1.1
1963.2917,0.8
1963.375,0.4
1963.4583,-0.5
1963.5417,-0.1
1963.625,0
1963.7083,-0.6
1963.7917,-1.2
1963.875,-0.8
1963.9583,-1.2
1964.0417,-0.4
1964.125,0
1964.2083,1.1
1964.2917,1.1
1964.375,0.2
1964.4583,0.8
1964.5417,0.6
1964.625,1.5
1964.7083,1.3
1964.7917,1.3
1964.875,0.2
1964.9583,-0.3
1965.0417,-0.4
1965.125,0.4
1965.2083,0.8
1965.2917,-0.5
1965.375,0.2
1965.4583,-0.6
1965.5417,-1.8
1965.625,-0.7
1965.7083,-1.3
1965.7917,-0.9
1965.875,-1.5
1965.9583,0.2
1966.0417,-1.3
1966.125,-0.2
1966.2083,-0.9
1966.2917,-0.2
1966.375,-0.4
1966.4583,0.3
1966.5417,0.1
1966.625,0.6
1966.7083,-0.2
1966.7917,-0.1
1966.875,0
1966.9583,-0.3
1967.0417,1.7
1967.125,1.7
1967.2083,1.2
1967.2917,0
1967.375,0
1967.4583,0.6
1967.5417,0.2
1967.625,0.7
1967.7083,0.5
1967.7917,0.1
1967.875,-0.4
1967.9583,-0.6
1968.0417,0.5
1968.125,1.3
1968.2083,0.1
1968.2917,0
1968.375,1.2
1968.4583,1.1
1968.5417,0.7
1968.625,0.3
1968.7083,-0.3
1968.7917,-0.1
1968.875,-0.3
1968.9583,0.2
1969.0417,-1.5
1969.125,-0.5
1969.2083,0.4
1969.2917,-0.4
1969.375,-0.2
1969.4583,0.2
1969.5417,-0.5
1969.625,-0.1
1969.7083,-1
1969.7917,-0.9
1969.875,-0.1
1969.9583,0.4
1970.0417,-1.1
1970.125,-1
1970.2083,0.6
1970.2917,-0.1
1970.375,0.4
1970.4583,1
1970.5417,-0.4
1970.625,0.6
1970.7083,1.2
1970.7917,1
1970.875,1.6
1970.9583,1.9
1971.0417,0.4
1971.125,2
1971.2083,2.3
1971.2917,1.7
1971.375,0.9
1971.4583,0.4
1971.5417,0.2
1971.625,1.5
1971.7083,1.4
1971.7917,1.7
1971.875,0.5
1971.9583,0.3
1972.0417,0.5
